
# Surface 0 of 1 surfaces

# Curve title: ""MiniProj2_ProjectionMethod_contourtmp0.dat""

# Contour 0, label:  0.00025
 0.882353  0.235273 -0.01 
 0.826944  0.176471 -0.01 
 0.823529  0.173182 -0.01 
 0.764706  0.133446 -0.01 
 0.722933  0.117647 -0.01 
 0.705882  0.110494 -0.01 
 0.647059  0.0981283 -0.01 
 0.588235  0.0955607 -0.01 
 0.529412  0.100696 -0.01 
 0.470588  0.113909 -0.01 
 0.460235  0.117647 -0.01 
 0.411765  0.133376 -0.01 
 0.352941  0.162066 -0.01 
 0.330996  0.176471 -0.01 
 0.294118  0.203064 -0.01 
 0.257874  0.235294 -0.01 
 0.235294  0.261456 -0.01 
 0.208488  0.294118 -0.01 
 0.177128  0.352941 -0.01 
 0.176471  0.354849 -0.01 
 0.154254  0.411765 -0.01 
 0.143384  0.470588 -0.01 
 0.14121  0.529412 -0.01 
 0.146558  0.588235 -0.01 
 0.159723  0.647059 -0.01 
 0.176471  0.691644 -0.01 
 0.18147  0.705882 -0.01 
 0.210707  0.764706 -0.01 
 0.235294  0.803426 -0.01 
 0.250814  0.823529 -0.01 
 0.294118  0.862852 -0.01 
 0.322574  0.882353 -0.01 
 0.352941  0.913665 -0.01 
 0.411765  0.912448 -0.01 
 0.452311  0.941176 -0.01 


# Contour 21, label:  -0.0001
 0.293167  0.0588235 -0.0001 
 0.235294  0.0752457 -0.0001 
 0.186146  0.117647 -0.0001 
 0.176471  0.123722 -0.0001 
 0.117647  0.169012 -0.0001 
 0.105721  0.176471 -0.0001 
 0.0588235  0.211677 -0.0001 

# Contour 22, label: 
 0.941176  0.149008 -0.0001 
 0.923429  0.117647 -0.0001 
 0.882353  0.0700159 -0.0001 
 0.869729  0.0588235 -0.0001 


# Contour 23, label:   -1e-05
 0.274016  0.0588235 -1e-05 
 0.235294  0.0698113 -1e-05 
 0.179847  0.117647 -1e-05 
 0.176471  0.119767 -1e-05 
 0.117647  0.157741 -1e-05 
 0.0876993  0.176471 -1e-05 
 0.0588235  0.198148 -1e-05 

# Contour 24, label: 
 0.941176  0.143257 -1e-05 
 0.926684  0.117647 -1e-05 
 0.882353  0.0662421 -1e-05 
 0.873986  0.0588235 -1e-05 


# Contour 25, label:   -1e-07
 0.271909  0.0588235 -1e-07 
 0.235294  0.0692135 -1e-07 
 0.179154  0.117647 -1e-07 
 0.176471  0.119332 -1e-07 
 0.117647  0.156501 -1e-07 
 0.0857169  0.176471 -1e-07 
 0.0588235  0.19666 -1e-07 

# Contour 26, label: 
 0.941176  0.142624 -1e-07 
 0.927042  0.117647 -1e-07 
 0.882353  0.065827 -1e-07 
 0.874454  0.0588235 -1e-07 


# Contour 27, label:   -1e-10
 0.271888  0.0588235 -1e-10 
 0.235294  0.0692075 -1e-10 
 0.179147  0.117647 -1e-10 
 0.176471  0.119327 -1e-10 
 0.117647  0.156489 -1e-10 
 0.0856969  0.176471 -1e-10 
 0.0588235  0.196645 -1e-10 

# Contour 28, label: 
 0.941176  0.142618 -1e-10 
 0.927045  0.117647 -1e-10 
 0.882353  0.0658228 -1e-10 
 0.874459  0.0588235 -1e-10 

