x	y	u	v
0.00775194	0.00775194	1.07593e-05	-1.07593e-05
0.00775194	0.0155039	9.74527e-06	-2.05046e-05
0.00775194	0.0232558	4.85658e-06	-2.53612e-05
0.00775194	0.0310078	-1.53604e-06	-2.38251e-05
0.00775194	0.0387597	-8.19623e-06	-1.56289e-05
0.00775194	0.0465116	-1.45197e-05	-1.10921e-06
0.00775194	0.0542636	-2.02386e-05	1.91294e-05
0.00775194	0.0620155	-2.52613e-05	4.43907e-05
0.00775194	0.0697674	-2.95867e-05	7.39774e-05
0.00775194	0.0775194	-3.32595e-05	0.000107237
0.00775194	0.0852713	-3.63448e-05	0.000143582
0.00775194	0.0930233	-3.89156e-05	0.000182497
0.00775194	0.100775	-4.10453e-05	0.000223543
0.00775194	0.108527	-4.28038e-05	0.000266346
0.00775194	0.116279	-4.42554e-05	0.000310602
0.00775194	0.124031	-4.54584e-05	0.00035606
0.00775194	0.131783	-4.64639e-05	0.000402524
0.00775194	0.139535	-4.73166e-05	0.000449841
0.00775194	0.147287	-4.80549e-05	0.000497896
0.00775194	0.155039	-4.8711e-05	0.000546607
0.00775194	0.162791	-4.93121e-05	0.000595919
0.00775194	0.170543	-4.98804e-05	0.000645799
0.00775194	0.178295	-5.04342e-05	0.000696233
0.00775194	0.186047	-5.09879e-05	0.000747221
0.00775194	0.193798	-5.15531e-05	0.000798774
0.00775194	0.20155	-5.21389e-05	0.000850913
0.00775194	0.209302	-5.27523e-05	0.000903666
0.00775194	0.217054	-5.33986e-05	0.000957064
0.00775194	0.224806	-5.40818e-05	0.00101115
0.00775194	0.232558	-5.48051e-05	0.00106595
0.00775194	0.24031	-5.55708e-05	0.00112152
0.00775194	0.248062	-5.63806e-05	0.0011779
0.00775194	0.255814	-5.72358e-05	0.00123514
0.00775194	0.263566	-5.81377e-05	0.00129328
0.00775194	0.271318	-5.90872e-05	0.00135236
0.00775194	0.27907	-6.00852e-05	0.00141245
0.00775194	0.286822	-6.11325e-05	0.00147358
0.00775194	0.294574	-6.22301e-05	0.00153581
0.00775194	0.302326	-6.33788e-05	0.00159919
0.00775194	0.310078	-6.45797e-05	0.00166377
0.00775194	0.317829	-6.5834e-05	0.0017296
0.00775194	0.325581	-6.71427e-05	0.00179675
0.00775194	0.333333	-6.85074e-05	0.00186525
0.00775194	0.341085	-6.99294e-05	0.00193518
0.00775194	0.348837	-7.14103e-05	0.00200659
0.00775194	0.356589	-7.29519e-05	0.00207955
0.00775194	0.364341	-7.45562e-05	0.0021541
0.00775194	0.372093	-7.62251e-05	0.00223033
0.00775194	0.379845	-7.79609e-05	0.00230829
0.00775194	0.387597	-7.9766e-05	0.00238805
0.00775194	0.395349	-8.16431e-05	0.0024697
0.00775194	0.403101	-8.3595e-05	0.00255329
0.00775194	0.410853	-8.56246e-05	0.00263892
0.00775194	0.418605	-8.77353e-05	0.00272665
0.00775194	0.426357	-8.99308e-05	0.00281658
0.00775194	0.434109	-9.22147e-05	0.0029088
0.00775194	0.44186	-9.45913e-05	0.00300339
0.00775194	0.449612	-9.70652e-05	0.00310045
0.00775194	0.457364	-9.96411e-05	0.00320009
0.00775194	0.465116	-0.000102324	0.00330242
0.00775194	0.472868	-0.000105121	0.00340754
0.00775194	0.48062	-0.000108037	0.00351558
0.00775194	0.488372	-0.000111079	0.00362666
0.00775194	0.496124	-0.000114255	0.00374091
0.00775194	0.503876	-0.000117572	0.00385848
0.00775194	0.511628	-0.00012104	0.00397952
0.00775194	0.51938	-0.000124668	0.00410419
0.00775194	0.527132	-0.000128467	0.00423266
0.00775194	0.534884	-0.000132449	0.00436511
0.00775194	0.542636	-0.000136625	0.00450173
0.00775194	0.550388	-0.00014101	0.00464274
0.00775194	0.55814	-0.00014562	0.00478836
0.00775194	0.565891	-0.000150471	0.00493883
0.00775194	0.573643	-0.000155581	0.00509441
0.00775194	0.581395	-0.000160973	0.00525539
0.00775194	0.589147	-0.000166668	0.00542206
0.00775194	0.596899	-0.000172693	0.00559475
0.00775194	0.604651	-0.000179075	0.00577382
0.00775194	0.612403	-0.000185846	0.00595967
0.00775194	0.620155	-0.000193042	0.00615271
0.00775194	0.627907	-0.000200702	0.00635341
0.00775194	0.635659	-0.000208871	0.00656228
0.00775194	0.643411	-0.000217599	0.00677988
0.00775194	0.651163	-0.000226942	0.00700682
0.00775194	0.658915	-0.000236964	0.00724379
0.00775194	0.666667	-0.000247739	0.00749153
0.00775194	0.674419	-0.000259348	0.00775088
0.00775194	0.682171	-0.000271886	0.00802276
0.00775194	0.689922	-0.00028546	0.00830822
0.00775194	0.697674	-0.000300194	0.00860842
0.00775194	0.705426	-0.000316231	0.00892465
0.00775194	0.713178	-0.000333733	0.00925838
0.00775194	0.72093	-0.000352891	0.00961127
0.00775194	0.728682	-0.000373926	0.0099852
0.00775194	0.736434	-0.000397092	0.0103823
0.00775194	0.744186	-0.00042269	0.010805
