x	y	u	v
0.00775194	0.860465	-0.00158437	0.0228931
0.00775194	0.868217	-0.00181733	0.0247105
0.00775194	0.875969	-0.00210562	0.0268161
0.00775194	0.883721	-0.00246723	0.0292833
0.00775194	0.891473	-0.00292734	0.0322107
0.00775194	0.899225	-0.00352142	0.0357321
0.00775194	0.906977	-0.00429971	0.0400318
0.00775194	0.914729	-0.00533335	0.0453651
0.00775194	0.922481	-0.00672236	0.0520875
0.00775194	0.930233	-0.0086049	0.0606924
0.00775194	0.937984	-0.0111653	0.0718577
0.00775194	0.945736	-0.0146341	0.0864919
0.00775194	0.953488	-0.0192614	0.105753
0.00775194	0.96124	-0.0252184	0.130972
0.00775194	0.968992	-0.0322909	0.163263
0.00775194	0.976744	-0.0388596	0.202122
0.00775194	0.984496	-0.0378154	0.239938
0.00775194	0.992248	0.00277191	0.237166
0.0155039	0.00775194	7.60599e-05	-9.72347e-06
0.0155039	0.0155039	-3.70463e-05	3.71062e-05
0.0155039	0.0232558	-8.94862e-05	0.000110183
0.0155039	0.0310078	-0.000113852	0.000195491
0.0155039	0.0387597	-0.000125252	0.000286568
0.0155039	0.0465116	-0.000130691	0.000380452
0.0155039	0.0542636	-0.000133416	0.000475803
0.0155039	0.0620155	-0.00013493	0.000572034
0.0155039	0.0697674	-0.000135934	0.000668909
0.0155039	0.0775194	-0.00013675	0.00076635
0.0155039	0.0852713	-0.000137528	0.000864359
0.0155039	0.0930233	-0.00013834	0.00096297
0.0155039	0.100775	-0.000139218	0.00106223
0.0155039	0.108527	-0.000140177	0.00116221
0.0155039	0.116279	-0.000141226	0.00126296
0.0155039	0.124031	-0.000142368	0.00136456
0.0155039	0.131783	-0.000143607	0.00146706
0.0155039	0.139535	-0.000144943	0.00157055
0.0155039	0.147287	-0.000146379	0.00167508
0.0155039	0.155039	-0.000147917	0.00178073
0.0155039	0.162791	-0.000149556	0.00188756
0.0155039	0.170543	-0.0001513	0.00199567
0.0155039	0.178295	-0.00015315	0.00210511
0.0155039	0.186047	-0.000155108	0.00221596
0.0155039	0.193798	-0.000157175	0.0023283
0.0155039	0.20155	-0.000159354	0.00244221
0.0155039	0.209302	-0.000161647	0.00255777
0.0155039	0.217054	-0.000164057	0.00267505
0.0155039	0.224806	-0.000166585	0.00279415
0.0155039	0.232558	-0.000169234	0.00291515
0.0155039	0.24031	-0.000172008	0.00303813
0.0155039	0.248062	-0.000174909	0.00316318
0.0155039	0.255814	-0.00017794	0.0032904
0.0155039	0.263566	-0.000181105	0.00341988
0.0155039	0.271318	-0.000184407	0.00355171
0.0155039	0.27907	-0.000187851	0.00368599
0.0155039	0.286822	-0.000191439	0.00382283
0.0155039	0.294574	-0.000195177	0.00396233
0.0155039	0.302326	-0.000199069	0.0041046
0.0155039	0.310078	-0.00020312	0.00424975
0.0155039	0.317829	-0.000207335	0.00439789
0.0155039	0.325581	-0.000211719	0.00454915
0.0155039	0.333333	-0.000216278	0.00470364
0.0155039	0.341085	-0.000221018	0.00486149
0.0155039	0.348837	-0.000225947	0.00502284
0.0155039	0.356589	-0.00023107	0.00518782
0.0155039	0.364341	-0.000236395	0.00535658
0.0155039	0.372093	-0.00024193	0.00552925
0.0155039	0.379845	-0.000247684	0.00570599
0.0155039	0.387597	-0.000253666	0.00588697
0.0155039	0.395349	-0.000259885	0.00607235
0.0155039	0.403101	-0.000266351	0.0062623
0.0155039	0.410853	-0.000273076	0.006457
0.0155039	0.418605	-0.000280071	0.00665664
0.0155039	0.426357	-0.000287349	0.00686142
0.0155039	0.434109	-0.000294923	0.00707155
0.0155039	0.44186	-0.000302809	0.00728724
0.0155039	0.449612	-0.000311021	0.00750872
0.0155039	0.457364	-0.000319577	0.00773623
0.0155039	0.465116	-0.000328494	0.00797003
0.0155039	0.472868	-0.000337793	0.00821038
0.0155039	0.48062	-0.000347494	0.00845755
0.0155039	0.488372	-0.00035762	0.00871186
0.0155039	0.496124	-0.000368195	0.0089736
0.0155039	0.503876	-0.000379247	0.00924311
0.0155039	0.511628	-0.000390805	0.00952074
0.0155039	0.51938	-0.000402899	0.00980687
0.0155039	0.527132	-0.000415564	0.0101019
0.0155039	0.534884	-0.000428837	0.0104062
0.0155039	0.542636	-0.000442759	0.0107203
0.0155039	0.550388	-0.000457373	0.0110447
0.0155039	0.55814	-0.000472729	0.0113797
0.0155039	0.565891	-0.000488879	0.0117261
0.0155039	0.573643	-0.000505881	0.0120844
0.0155039	0.581395	-0.0005238	0.0124552
0.0155039	0.589147	-0.000542704	0.0128393
0.0155039	0.596899	-0.000562673	0.0132372
0.0155039	0.604651	-0.00058379	0.0136499
0.0155039	0.612403	-0.000606151	0.0140782
0.0155039	0.620155	-0.000629861	0.014523
0.0155039	0.627907	-0.000655035	0.0149852
0.0155039	0.635659	-0.000681804	0.0154661
0.0155039	0.643411	-0.000710313	0.0159668
0.0155039	0.651163	-0.000740722	0.0164886
0.0155039	0.658915	-0.000773214	0.0170329
0.0155039	0.666667	-0.000807993	0.0176012
0.0155039	0.674419	-0.000845288	0.0181954
0.0155039	0.682171	-0.00088536	0.0188172
0.0155039	0.689922	-0.000928504	0.0194687
0.0155039	0.697674	-0.000975054	0.0201523
0.0155039	0.705426	-0.00102539	0.0208704
0.0155039	0.713178	-0.00107996	0.0216261
0.0155039	0.72093	-0.00113927	0.0224223
0.0155039	0.728682	-0.00120388	0.0232627
0.0155039	0.736434	-0.00127449	0.0241513
0.0155039	0.744186	-0.00135187	0.0250926
0.0155039	0.751938	-0.00143694	0.0260917
0.0155039	0.75969	-0.0015308	0.0271544
0.0155039	0.767442	-0.0016347	0.0282874
