x	y	u	v
0.00775194	0.00775194	8.02506e-06	-8.02506e-06
0.00775194	0.0155039	1.00647e-05	-1.80898e-05
0.00775194	0.0232558	8.70395e-06	-2.67937e-05
0.00775194	0.0310078	5.4072e-06	-3.22009e-05
0.00775194	0.0387597	1.14497e-06	-3.33459e-05
0.00775194	0.0465116	-3.5012e-06	-2.98447e-05
0.00775194	0.0542636	-8.19783e-06	-2.16468e-05
0.00775194	0.0620155	-1.27605e-05	-8.8863e-06
0.00775194	0.0697674	-1.70927e-05	8.20644e-06
0.00775194	0.0775194	-2.1149e-05	2.93555e-05
0.00775194	0.0852713	-2.49138e-05	5.42692e-05
0.00775194	0.0930233	-2.83882e-05	8.26575e-05
0.00775194	0.100775	-3.15833e-05	0.000114241
0.00775194	0.108527	-3.4515e-05	0.000148756
0.00775194	0.116279	-3.72017e-05	0.000185958
0.00775194	0.124031	-3.9663e-05	0.000225621
0.00775194	0.131783	-4.19185e-05	0.000267539
0.00775194	0.139535	-4.39873e-05	0.000311526
0.00775194	0.147287	-4.58881e-05	0.000357414
0.00775194	0.155039	-4.76384e-05	0.000405053
0.00775194	0.162791	-4.9255e-05	0.000454308
0.00775194	0.170543	-5.07536e-05	0.000505061
0.00775194	0.178295	-5.21492e-05	0.000557211
0.00775194	0.186047	-5.34555e-05	0.000610666
0.00775194	0.193798	-5.46855e-05	0.000665352
0.00775194	0.20155	-5.58513e-05	0.000721203
0.00775194	0.209302	-5.6964e-05	0.000778167
0.00775194	0.217054	-5.80339e-05	0.000836201
0.00775194	0.224806	-5.90707e-05	0.000895271
0.00775194	0.232558	-6.00829e-05	0.000955354
0.00775194	0.24031	-6.10788e-05	0.00101643
0.00775194	0.248062	-6.20655e-05	0.0010785
0.00775194	0.255814	-6.30498e-05	0.00114155
0.00775194	0.263566	-6.40377e-05	0.00120559
0.00775194	0.271318	-6.50348e-05	0.00127062
0.00775194	0.27907	-6.6046e-05	0.00133667
0.00775194	0.286822	-6.70759e-05	0.00140374
0.00775194	0.294574	-6.81284e-05	0.00147187
0.00775194	0.302326	-6.92074e-05	0.00154108
0.00775194	0.310078	-7.0316e-05	0.00161139
0.00775194	0.317829	-7.14574e-05	0.00168285
0.00775194	0.325581	-7.26342e-05	0.00175549
0.00775194	0.333333	-7.38491e-05	0.00182934
0.00775194	0.341085	-7.51043e-05	0.00190444
0.00775194	0.348837	-7.6402e-05	0.00198084
0.00775194	0.356589	-7.77443e-05	0.00205859
0.00775194	0.364341	-7.91332e-05	0.00213772
0.00775194	0.372093	-8.05707e-05	0.00221829
0.00775194	0.379845	-8.20587e-05	0.00230035
0.00775194	0.387597	-8.35993e-05	0.00238395
0.00775194	0.395349	-8.51944e-05	0.00246914
0.00775194	0.403101	-8.68462e-05	0.00255599
0.00775194	0.410853	-8.85571e-05	0.00264455
0.00775194	0.418605	-9.03293e-05	0.00273487
0.00775194	0.426357	-9.21656e-05	0.00282704
0.00775194	0.434109	-9.40688e-05	0.00292111
0.00775194	0.44186	-9.60421e-05	0.00301715
0.00775194	0.449612	-9.80889e-05	0.00311524
0.00775194	0.457364	-0.000100213	0.00321545
0.00775194	0.465116	-0.000102419	0.00331787
0.00775194	0.472868	-0.000104711	0.00342258
0.00775194	0.48062	-0.000107094	0.00352968
0.00775194	0.488372	-0.000109574	0.00363925
0.00775194	0.496124	-0.000112157	0.00375141
0.00775194	0.503876	-0.000114851	0.00386626
0.00775194	0.511628	-0.000117663	0.00398392
0.00775194	0.51938	-0.000120602	0.00410452
0.00775194	0.527132	-0.000123676	0.0042282
0.00775194	0.534884	-0.000126898	0.0043551
0.00775194	0.542636	-0.000130278	0.00448537
0.00775194	0.550388	-0.000133829	0.0046192
0.00775194	0.55814	-0.000137566	0.00475677
0.00775194	0.565891	-0.000141504	0.00489827
0.00775194	0.573643	-0.000145662	0.00504394
0.00775194	0.581395	-0.000150059	0.00519399
0.00775194	0.589147	-0.000154716	0.00534871
0.00775194	0.596899	-0.000159659	0.00550837
0.00775194	0.604651	-0.000164914	0.00567328
0.00775194	0.612403	-0.000170512	0.0058438
0.00775194	0.620155	-0.000176485	0.00602028
0.00775194	0.627907	-0.000182872	0.00620315
0.00775194	0.635659	-0.000189716	0.00639287
0.00775194	0.643411	-0.000197063	0.00658993
0.00775194	0.651163	-0.000204967	0.0067949
0.00775194	0.658915	-0.000213488	0.00700839
0.00775194	0.666667	-0.000222695	0.00723108
0.00775194	0.674419	-0.000232664	0.00746375
0.00775194	0.682171	-0.000243485	0.00770723
0.00775194	0.689922	-0.000255257	0.00796249
0.00775194	0.697674	-0.000268096	0.00823058
0.00775194	0.705426	-0.000282134	0.00851272
0.00775194	0.713178	-0.000297525	0.00881024
0.00775194	0.72093	-0.000314447	0.00912469
0.00775194	0.728682	-0.000333106	0.0094578
0.00775194	0.736434	-0.000353747	0.00981154
0.00775194	0.744186	-0.000376655	0.0101882
0.00775194	0.751938	-0.000402168	0.0105904
0.00775194	0.75969	-0.000430692	0.0110211
0.00775194	0.767442	-0.000462708	0.0114838
0.00775194	0.775194	-0.000498799	0.0119826
0.00775194	0.782946	-0.000539671	0.0125222
0.00775194	0.790698	-0.000586187	0.0131084
0.00775194	0.79845	-0.000639404	0.0137478
0.00775194	0.806202	-0.000700633	0.0144485
0.00775194	0.813953	-0.000771507	0.01522
0.00775194	0.821705	-0.000854078	0.016074
0.00775194	0.829457	-0.000950941	0.017025
0.00775194	0.837209	-0.00106541	0.0180904
0.00775194	0.844961	-0.00120174	0.0192921
0.00775194	0.852713	-0.00136548	0.0206576
0.00775194	0.860465	-0.00156386	0.0222215
0.00775194	0.868217	-0.00180648	0.024028
0.00775194	0.875969	-0.00210614	0.0261341
0.00775194	0.883721	-0.00248007	0.0286142
0.00775194	0.891473	-0.00295173	0.0315659
0.00775194	0.899225	-0.00355333	0.0351192
0.00775194	0.906977	-0.00432945	0.0394487
0.00775194	0.914729	-0.00534218	0.0447909
0.00775194	0.922481	-0.00667844	0.0514693
0.00775194	0.930233	-0.0084598	0.0599291
0.00775194	0.937984	-0.010855	0.0707841
0.00775194	0.945736	-0.0140926	0.0848767
0.00775194	0.953488	-0.0184639	0.103341
0.00775194	0.96124	-0.0242761	0.127617
0.00775194	0.968992	-0.0316104	0.159227
0.00775194	0.976744	-0.0392871	0.198514
0.00775194	0.984496	-0.040363	0.238877
0.00775194	0.992248	-0.00116013	0.240037
0.0155039	0.00775194	1.80733e-05	-1.00482e-05
0.0155039	0.0155039	2.06754e-05	-2.06589e-05
0.0155039	0.0232558	1.50916e-05	-2.70465e-05
0.0155039	0.0310078	4.54709e-06	-2.61864e-05
0.0155039	0.0387597	-8.73685e-06	-1.63045e-05
0.0155039	0.0465116	-2.33104e-05	3.50468e-06
0.0155039	0.0542636	-3.82589e-05	3.35657e-05
0.0155039	0.0620155	-5.3021e-05	7.38262e-05
0.0155039	0.0697674	-6.72641e-05	0.000123998
0.0155039	0.0775194	-8.08016e-05	0.00018365
0.0155039	0.0852713	-9.35394e-05	0.000252276
0.0155039	0.0930233	-0.000105442	0.00032933
0.0155039	0.100775	-0.000116512	0.000414259
0.0155039	0.108527	-0.000126774	0.000506518
