
# Surface 0 of 1 surfaces

# Curve title: ""Figures/Stream_Re100_contourtmp0.dat""
# Contour 0, label:    1e-05
 0.333333  0.797013 -0.07 
 0.336819  0.818182 -0.07 
 0.350814  0.848485 -0.07 
 0.363636  0.860912 -0.07 
 0.389248  0.878788 -0.07 
 0.393939  0.880561 -0.07 
 0.424242  0.889686 -0.07 
 0.454545  0.896386 -0.07 
 0.484848  0.901362 -0.07 
 0.515152  0.905039 -0.07 
 0.545455  0.907678 -0.07 
 0.569702  0.909091 -0.07 
 0.575758  0.909346 -0.07 
 0.606061  0.910059 -0.07 
 0.636364  0.910168 -0.07 
 0.666667  0.909616 -0.07 
 0.678714  0.909091 -0.07 
 0.69697  0.908017 -0.07 
 0.727273  0.90488 -0.07 
 0.757576  0.899735 -0.07 
 0.787879  0.891247 -0.07 
 0.813737  0.878788 -0.07 
 0.818182  0.874538 -0.07 
 0.834142  0.848485 -0.07 
 0.838559  0.818182 -0.07 
 0.836186  0.787879 -0.07 
 0.830072  0.757576 -0.07 
 0.821408  0.727273 -0.07 


# Contour 7, label:    -0.05
 0.880767  0.787879 -0.05 
 0.878788  0.778548 -0.05 
 0.873955  0.757576 -0.05 
 0.865694  0.727273 -0.05 
 0.856134  0.69697 -0.05 
 0.848485  0.675778 -0.05 
 0.844833  0.666667 -0.05 
 0.831564  0.636364 -0.05 
 0.818182  0.609207 -0.05 
 0.816413  0.606061 -0.05 
 0.798342  0.575758 -0.05 
 0.787879  0.559607 -0.05 
 0.777134  0.545455 -0.05 
 0.757576  0.521109 -0.05 
 0.7518  0.515152 -0.05 
 0.727273  0.490587 -0.05 
 0.72014  0.484848 -0.05 
 0.69697  0.466312 -0.05 
 0.677999  0.454545 -0.05 
 0.666667  0.447407 -0.05 
 0.636364  0.433015 -0.05 
 0.610103  0.424242 -0.05 
 0.606061  0.422831 -0.05 
 0.575758  0.416194 -0.05 
 0.545455  0.413274 -0.05 
 0.515152  0.413953 -0.05 
 0.484848  0.41831 -0.05 
 0.462872  0.424242 -0.05 
 0.454545  0.426568 -0.05 
 0.424242  0.439112 -0.05 
 0.397568  0.454545 -0.05 
 0.393939  0.456832 -0.05 
 0.363636  0.481012 -0.05 
 0.359682  0.484848 -0.05 
 0.333333  0.514059 -0.05 
 0.332488  0.515152 -0.05 
 0.311947  0.545455 -0.05 
 0.30303  0.561286 -0.05 
 0.295662  0.575758 -0.05 
 0.282734  0.606061 -0.05 
 0.272727  0.634898 -0.05 
 0.272248  0.636364 -0.05 
 0.263896  0.666667 -0.05 
 0.257081  0.69697 -0.05 
 0.251463  0.727273 -0.05 
 0.246759  0.757576 -0.05 
 0.2428  0.787879 -0.05 
 0.242424  0.791802 -0.05 
 0.239857  0.818182 -0.05 
 0.238779  0.848485 -0.05 
 0.242424  0.875279 -0.05 
 0.243041  0.878788 -0.05 
 0.268247  0.909091 -0.05 
 0.272727  0.91098 -0.05 
 0.30303  0.920502 -0.05 
 0.333333  0.926962 -0.05 
 0.363636  0.931571 -0.05 
 0.393939  0.934977 -0.05 
 0.424242  0.93755 -0.05 
 0.452579  0.939394 -0.05 
 0.454545  0.939481 -0.05 
 0.484848  0.940582 -0.05 
 0.515152  0.941439 -0.05 
 0.545455  0.942067 -0.05 
 0.575758  0.942474 -0.05 
 0.606061  0.942655 -0.05 
 0.636364  0.942595 -0.05 
 0.666667  0.942266 -0.05 
 0.69697  0.941622 -0.05 
 0.727273  0.940589 -0.05 
 0.750937  0.939394 -0.05 
 0.757576  0.938938 -0.05 
 0.787879  0.935869 -0.05 
 0.818182  0.930954 -0.05 
 0.848485  0.922256 -0.05 
 0.871647  0.909091 -0.05 
 0.878788  0.898494 -0.05 
 0.886064  0.878788 -0.05 
 0.887873  0.848485 -0.05 
 0.885479  0.818182 -0.05 
 0.880767  0.787879 -0.05 


# Contour 8, label:    -0.03
 0.912871  0.757576 -0.03 
 0.909091  0.740689 -0.03 
 0.9061  0.727273 -0.03 
 0.898727  0.69697 -0.03 
 0.890292  0.666667 -0.03 
 0.880439  0.636364 -0.03 
 0.878788  0.631628 -0.03 
 0.869581  0.606061 -0.03 
 0.857191  0.575758 -0.03 
 0.848485  0.556742 -0.03 
 0.842893  0.545455 -0.03 
 0.826698  0.515152 -0.03 
 0.818182  0.50059 -0.03 
 0.80784  0.484848 -0.03 
 0.787879  0.456911 -0.03 
 0.785911  0.454545 -0.03 
 0.759808  0.424242 -0.03 
 0.757576  0.421737 -0.03 
 0.727784  0.393939 -0.03 
 0.727273  0.393469 -0.03 
 0.69697  0.370368 -0.03 
 0.685591  0.363636 -0.03 
 0.666667  0.352088 -0.03 
 0.636364  0.33812 -0.03 
 0.622175  0.333333 -0.03 
 0.606061  0.327547 -0.03 
 0.575758  0.320147 -0.03 
 0.545455  0.315928 -0.03 
 0.515152  0.314621 -0.03 
 0.484848  0.316145 -0.03 
 0.454545  0.320583 -0.03 
 0.424242  0.328181 -0.03 
 0.409814  0.333333 -0.03 
 0.393939  0.339042 -0.03 
 0.363636  0.353734 -0.03 
 0.347795  0.363636 -0.03 
 0.333333  0.37322 -0.03 
 0.308355  0.393939 -0.03 
 0.30303  0.398788 -0.03 
 0.279583  0.424242 -0.03 
 0.272727  0.432719 -0.03 
 0.257312  0.454545 -0.03 
 0.242424  0.479526 -0.03 
 0.239555  0.484848 -0.03 
 0.225203  0.515152 -0.03 
 0.213494  0.545455 -0.03 
 0.212121  0.54955 -0.03 
 0.203735  0.575758 -0.03 
 0.195647  0.606061 -0.03 
 0.188874  0.636364 -0.03 
 0.183075  0.666667 -0.03 
 0.181818  0.673914 -0.03 
 0.177816  0.69697 -0.03 
 0.172906  0.727273 -0.03 
 0.168037  0.757576 -0.03 
 0.16284  0.787879 -0.03 
 0.156948  0.818182 -0.03 
 0.151515  0.842452 -0.03 
 0.150152  0.848485 -0.03 
 0.143189  0.878788 -0.03 
 0.138268  0.909091 -0.03 
 0.146932  0.939394 -0.03 
 0.151515  0.941739 -0.03 
 0.181818  0.951349 -0.03 
 0.212121  0.956683 -0.03 
 0.242424  0.960005 -0.03 
 0.272727  0.962251 -0.03 
 0.30303  0.96386 -0.03 
 0.333333  0.965064 -0.03 
 0.363636  0.965992 -0.03 
 0.393939  0.966722 -0.03 
 0.424242  0.967299 -0.03 
 0.454545  0.967755 -0.03 
 0.484848  0.968108 -0.03 
 0.515152  0.968369 -0.03 
 0.545455  0.968543 -0.03 
 0.575758  0.968633 -0.03 
 0.606061  0.968635 -0.03 
 0.636364  0.968543 -0.03 
 0.666667  0.968345 -0.03 
 0.69697  0.968022 -0.03 
 0.727273  0.967545 -0.03 
 0.757576  0.966865 -0.03 
 0.787879  0.965892 -0.03 
 0.818182  0.96446 -0.03 
 0.848485  0.962197 -0.03 
 0.878788  0.958135 -0.03 
 0.909091  0.94898 -0.03 
 0.922033  0.939394 -0.03 
 0.931076  0.909091 -0.03 
 0.930663  0.878788 -0.03 
 0.927753  0.848485 -0.03 
 0.923704  0.818182 -0.03 
 0.918765  0.787879 -0.03 
 0.912871  0.757576 -0.03 


# Contour 9, label:    -0.01
 0.969697  0.880668 -0.01 
 0.969512  0.878788 -0.01 
 0.966582  0.848485 -0.01 
 0.963641  0.818182 -0.01 
 0.960496  0.787879 -0.01 
 0.956966  0.757576 -0.01 
 0.952873  0.727273 -0.01 
 0.948022  0.69697 -0.01 
 0.94218  0.666667 -0.01 
 0.939394  0.653637 -0.01 
 0.936477  0.636364 -0.01 
 0.930792  0.606061 -0.01 
 0.923994  0.575758 -0.01 
 0.915746  0.545455 -0.01 
 0.909091  0.524388 -0.01 
 0.906431  0.515152 -0.01 
 0.897004  0.484848 -0.01 
 0.88547  0.454545 -0.01 
 0.878788  0.438983 -0.01 
 0.872499  0.424242 -0.01 
 0.857913  0.393939 -0.01 
 0.848485  0.376843 -0.01 
 0.840769  0.363636 -0.01 
 0.820723  0.333333 -0.01 
 0.818182  0.329719 -0.01 
 0.797189  0.30303 -0.01 
 0.787879  0.292223 -0.01 
 0.768148  0.272727 -0.01 
 0.757576  0.262759 -0.01 
 0.730967  0.242424 -0.01 
 0.727273  0.239632 -0.01 
 0.69697  0.220734 -0.01 
 0.678606  0.212121 -0.01 
 0.666667  0.206274 -0.01 
 0.636364  0.194822 -0.01 
 0.606061  0.186705 -0.01 
 0.579502  0.181818 -0.01 
 0.575758  0.181052 -0.01 
 0.545455  0.177053 -0.01 
 0.515152  0.175185 -0.01 
 0.484848  0.175252 -0.01 
 0.454545  0.177192 -0.01 
 0.424242  0.181074 -0.01 
 0.420325  0.181818 -0.01 
 0.393939  0.186418 -0.01 
 0.363636  0.193876 -0.01 
 0.333333  0.204083 -0.01 
 0.314894  0.212121 -0.01 
 0.30303  0.217252 -0.01 
 0.272727  0.23392 -0.01 
 0.260394  0.242424 -0.01 
 0.242424  0.255553 -0.01 
 0.223456  0.272727 -0.01 
 0.212121  0.284132 -0.01 
 0.196202  0.30303 -0.01 
 0.181818  0.323083 -0.01 
 0.175283  0.333333 -0.01 
 0.158748  0.363636 -0.01 
 0.151515  0.379684 -0.01 
 0.145417  0.393939 -0.01 
 0.134443  0.424242 -0.01 
 0.125719  0.454545 -0.01 
 0.121212  0.473349 -0.01 
 0.118363  0.484848 -0.01 
 0.111901  0.515152 -0.01 
 0.106633  0.545455 -0.01 
 0.102291  0.575758 -0.01 
 0.098655  0.606061 -0.01 
 0.0955331  0.636364 -0.01 
 0.0927395  0.666667 -0.01 
 0.0909091  0.687238 -0.01 
 0.0898999  0.69697 -0.01 
 0.0866055  0.727273 -0.01 
 0.0830188  0.757576 -0.01 
 0.0788863  0.787879 -0.01 
 0.0739753  0.818182 -0.01 
 0.0681054  0.848485 -0.01 
 0.0611455  0.878788 -0.01 
 0.0606061  0.880751 -0.01 
 0.0526502  0.909091 -0.01 
 0.0454376  0.939394 -0.01 
 0.0453987  0.969697 -0.01 


# Contour 10, label:  -0.0001
 0.201751  0.030303 -0.0001 
 0.181818  0.0330345 -0.0001 
 0.151515  0.0398536 -0.0001 
 0.121212  0.0540917 -0.0001 
 0.112  0.0606061 -0.0001 
 0.0909091  0.0744214 -0.0001 
 0.0740864  0.0909091 -0.0001 
 0.0606061  0.108933 -0.0001 
 0.0515829  0.121212 -0.0001 
 0.0374057  0.151515 -0.0001 
 0.0306443  0.181818 -0.0001 
 0.030303  0.183808 -0.0001 

 0.969697  0.268103 -0.0001 
 0.966368  0.242424 -0.0001 
 0.960018  0.212121 -0.0001 
 0.947752  0.181818 -0.0001 
 0.939394  0.168576 -0.0001 
 0.931818  0.151515 -0.0001 
 0.909091  0.121627 -0.0001 
 0.908793  0.121212 -0.0001 
 0.882695  0.0909091 -0.0001 
 0.878788  0.0868936 -0.0001 
