
# Surface 0 of 1 surfaces

# Curve title: ""Figures/Transient_1_contourtmp0.dat""
# Contour 0, label:    1e-07
 0.0350694  0.00775194  1e-07 
 0.0310078  0.00846782  1e-07 
 0.0232558  0.0110466  1e-07 
 0.0177798  0.0155039  1e-07 
 0.0155039  0.0177833  1e-07 
 0.0110593  0.0232558  1e-07 
 0.00848417  0.0310078  1e-07 
 0.00775194  0.0351963  1e-07 

 0.992248  0.0348282  1e-07 
 0.991578  0.0310078  1e-07 
 0.989051  0.0232558  1e-07 
 0.984496  0.0176337  1e-07 
 0.982371  0.0155039  1e-07 
 0.976744  0.0109299  1e-07 
 0.968992  0.00839906  1e-07 
 0.965335  0.00775194  1e-07 


# Contour 1, label:    1e-08
 0.037644  0.00775194  1e-08 
 0.0310078  0.00892159  1e-08 
 0.0232558  0.0118514  1e-08 
 0.0187685  0.0155039  1e-08 
 0.0155039  0.0187735  1e-08 
 0.0118635  0.0232558  1e-08 
 0.00893744  0.0310078  1e-08 
 0.00775194  0.0377891  1e-08 

 0.992248  0.0373944  1e-08 
 0.991129  0.0310078  1e-08 
 0.988256  0.0232558  1e-08 
 0.984496  0.0186159  1e-08 
 0.981391  0.0155039  1e-08 
 0.976744  0.0117264  1e-08 
 0.968992  0.00884932  1e-08 
 0.962791  0.00775194  1e-08 


# Contour 2, label:    -0.01
 0.294574  0.985569 -0.01 
 0.302326  0.985582 -0.01 
 0.310078  0.985593 -0.01 
 0.317829  0.985604 -0.01 
 0.325581  0.985614 -0.01 
 0.333333  0.985623 -0.01 
 0.341085  0.985631 -0.01 
 0.348837  0.985639 -0.01 
 0.356589  0.985647 -0.01 
 0.364341  0.985654 -0.01 
 0.372093  0.98566 -0.01 
 0.379845  0.985666 -0.01 
 0.387597  0.985671 -0.01 
 0.395349  0.985677 -0.01 
 0.403101  0.985681 -0.01 
 0.410853  0.985686 -0.01 
 0.418605  0.985689 -0.01 
 0.426357  0.985693 -0.01 
 0.434109  0.985696 -0.01 
 0.44186  0.985699 -0.01 
 0.449612  0.985702 -0.01 
 0.457364  0.985704 -0.01 
