
# Surface 0 of 1 surfaces

# Curve title: ""Figures/Transient_3_contourtmp0.dat""

# Contour 0, label:    1e-07
 0.403101  0.790997 -0.05 
 0.396383  0.79845 -0.05 
 0.395349  0.799668 -0.05 
 0.389851  0.806202 -0.05 
 0.387597  0.809079 -0.05 
 0.383803  0.813953 -0.05 
 0.379845  0.819487 -0.05 
 0.378266  0.821705 -0.05 
 0.373309  0.829457 -0.05 
 0.372093  0.831652 -0.05 
 0.369011  0.837209 -0.05 
 0.365448  0.844961 -0.05 
 0.364341  0.84821 -0.05 
 0.362794  0.852713 -0.05 
 0.361243  0.860465 -0.05 
 0.361073  0.868217 -0.05 
 0.362713  0.875969 -0.05 
 0.364341  0.879185 -0.05 
 0.366831  0.883721 -0.05 
 0.372093  0.889231 -0.05 
 0.374441  0.891473 -0.05 
 0.379845  0.894941 -0.05 
 0.387256  0.899225 -0.05 
 0.387597  0.899368 -0.05 
 0.395349  0.902431 -0.05 
 0.403101  0.905217 -0.05 
 0.408416  0.906977 -0.05 
 0.410853  0.907603 -0.05 
 0.418605  0.909482 -0.05 
 0.426357  0.911225 -0.05 
 0.434109  0.912846 -0.05 
 0.44186  0.914357 -0.05 
 0.44387  0.914729 -0.05 
 0.449612  0.915595 -0.05 
 0.457364  0.916704 -0.05 
 0.465116  0.917751 -0.05 
 0.472868  0.918741 -0.05 
 0.48062  0.91968 -0.05 
 0.488372  0.920571 -0.05 
 0.496124  0.921419 -0.05 
 0.503876  0.922226 -0.05 
 0.506423  0.922481 -0.05 
 0.511628  0.922924 -0.05 
 0.51938  0.923558 -0.05 
 0.527132  0.924168 -0.05 
 0.534884  0.924753 -0.05 
 0.542636  0.925316 -0.05 
 0.550388  0.925857 -0.05 
 0.55814  0.926379 -0.05 
 0.565891  0.92688 -0.05 
 0.573643  0.927364 -0.05 
 0.581395  0.927829 -0.05 
 0.589147  0.928276 -0.05 
 0.596899  0.928706 -0.05 
 0.604651  0.929118 -0.05 
 0.612403  0.929512 -0.05 
 0.620155  0.929889 -0.05 
 0.627593  0.930233 -0.05 
 0.627907  0.930246 -0.05 
 0.635659  0.930548 -0.05 
 0.643411  0.930833 -0.05 
 0.651163  0.9311 -0.05 
 0.658915  0.931348 -0.05 
 0.666667  0.931575 -0.05 
 0.674419  0.931781 -0.05 
 0.682171  0.931962 -0.05 
 0.689922  0.932118 -0.05 
 0.697674  0.932245 -0.05 
 0.705426  0.932342 -0.05 
 0.713178  0.932405 -0.05 
 0.72093  0.932431 -0.05 
 0.728682  0.932417 -0.05 
 0.736434  0.932358 -0.05 
 0.744186  0.932249 -0.05 
 0.751938  0.932086 -0.05 
 0.75969  0.931862 -0.05 
 0.767442  0.93157 -0.05 
 0.775194  0.931202 -0.05 
 0.782946  0.930748 -0.05 
 0.790199  0.930233 -0.05 
 0.790698  0.930193 -0.05 
 0.79845  0.929458 -0.05 
 0.806202  0.928579 -0.05 
 0.813953  0.927532 -0.05 
 0.821705  0.926288 -0.05 
 0.829457  0.924808 -0.05 
 0.837209  0.923043 -0.05 
 0.839318  0.922481 -0.05 
 0.844961  0.920714 -0.05 
 0.852713  0.917783 -0.05 
 0.859315  0.914729 -0.05 
 0.860465  0.914076 -0.05 
 0.868217  0.908747 -0.05 
 0.870318  0.906977 -0.05 

# Contour 9, label: 
 0.884405  0.844961 -0.05 
 0.883721  0.840932 -0.05 
 0.883054  0.837209 -0.05 
 0.881308  0.829457 -0.05 
 0.879263  0.821705 -0.05 
 0.876945  0.813953 -0.05 
 0.875969  0.811035 -0.05 
 0.874253  0.806202 -0.05 
 0.871242  0.79845 -0.05 
 0.868217  0.791224 -0.05 
 0.867982  0.790698 -0.05 
 0.864264  0.782946 -0.05 
 0.860465  0.77547 -0.05 
 0.860315  0.775194 -0.05 
 0.855861  0.767442 -0.05 
 0.852713  0.762217 -0.05 
 0.851079  0.75969 -0.05 
 0.845851  0.751938 -0.05 
 0.844961  0.750667 -0.05 
 0.840072  0.744186 -0.05 
 0.837209  0.74051 -0.05 
 0.833776  0.736434 -0.05 
 0.829457  0.731442 -0.05 
 0.826866  0.728682 -0.05 
 0.821705  0.723301 -0.05 
 0.819228  0.72093 -0.05 
 0.813953  0.715961 -0.05 
